Match Number,Team id,Score,Wickets,Overs,Run Rate,Fours,Sixes,Extras
1,9,178,7,20.0,8.9,10,13,8
1,1,182,5,19.2,9.41,15,8,12
2,6,191,5,20.0,9.55,17,9,4
2,7,146,7,16.0,9.13,13,7,6
3,3,193,6,20.0,9.65,5,16,8
3,5,143,9,20.0,7.15,15,2,10
4,2,203,5,20.0,10.15,21,8,8
4,8,131,8,20.0,6.55,8,5,7
5,10,171,7,20.0,8.55,15,7,11
5,4,172,2,16.2,10.53,11,13,5
6,9,217,7,20.0,10.85,15,13,16
6,3,205,7,20.0,10.25,13,9,18
7,5,162,8,20.0,8.1,14,6,15
7,1,163,4,18.1,8.97,15,5,8
8,6,197,4,20.0,9.85,19,7,10
8,2,192,7,20.0,9.6,13,10,10
9,7,204,7,20.0,10.2,18,9,23
9,4,123,10,17.4,6.96,12,4,6
10,8,121,8,20.0,6.05,10,3,4
10,3,127,5,16.0,7.94,13,3,17
11,2,199,4,20.0,9.95,23,7,6
11,5,142,9,20.0,7.1,15,0,10
12,10,157,8,20.0,7.85,15,4,8
12,9,159,3,18.1,8.75,14,5,10
13,1,204,4,20.0,10.2,18,7,16
13,7,207,7,20.0,10.35,15,15,4
14,6,143,9,20.0,7.15,17,6,6
14,8,145,2,17.1,8.45,22,3,0
15,4,212,2,20.0,10.6,12,15,12
15,3,213,9,20.0,10.65,17,12,16
16,5,172,10,19.4,8.75,20,5,11
16,10,173,4,20.0,8.65,14,10,6
17,2,175,8,20.0,8.75,11,7,10
17,9,172,6,20.0,8.6,12,6,10
18,6,153,8,20.0,7.65,16,5,11
18,1,154,4,19.5,7.76,17,1,8
19,8,228,4,20.0,11.4,21,11,12
19,7,205,7,20.0,10.25,18,11,10
20,4,174,6,20.0,8.7,13,8,11
20,5,151,9,20.0,7.55,18,2,3
21,3,159,8,20.0,7.95,11,6,12
21,6,161,8,19.3,8.26,16,6,7
22,7,185,6,20.0,9.25,12,10,14
22,10,186,5,17.4,10.53,15,13,4
23,1,177,7,20.0,8.85,13,7,5
23,2,179,7,19.2,9.26,10,15,3
24,9,226,6,20.0,11.3,12,17,7
24,4,218,8,20.0,10.9,12,16,11
25,10,192,5,20.0,9.6,19,9,2
25,8,178,10,19.5,8.97,18,4,19
26,3,154,7,20.0,7.7,13,5,6
26,2,144,6,20.0,7.2,13,4,12
27,4,174,4,20.0,8.7,12,6,12
27,6,150,10,18.2,8.18,9,10,5
28,7,127,10,20.0,6.35,10,6,12
28,5,128,6,19.2,6.62,17,0,7
29,8,134,7,20.0,6.7,11,2,4
29,9,138,3,18.4,7.39,16,1,2
30,1,135,6,20.0,6.75,9,4,1
30,3,128,7,20.0,6.4,12,2,2
31,6,214,8,20.0,10.7,16,14,12
31,10,201,6,20.0,10.05,17,11,3
32,4,189,9,20.0,9.45,18,6,13
32,2,182,6,20.0,9.1,18,6,11
33,9,235,4,20.0,11.75,14,18,3
33,7,186,8,20.0,9.3,14,12,10
34,5,144,9,20.0,7.2,15,2,4
34,8,137,6,20.0,6.85,13,1,1
35,1,207,6,20.0,10.35,14,12,5
35,10,152,9,20.0,7.6,8,9,5
36,7,200,5,20.0,10.0,16,12,7
36,4,179,8,20.0,8.95,12,7,6
37,2,202,5,20.0,10.1,21,6,11
37,9,170,6,20.0,8.5,13,7,2
38,3,257,5,20.0,12.85,27,14,15
38,6,201,10,19.5,10.13,18,8,13
39,7,179,7,20.0,8.95,12,12,3
39,1,180,3,17.5,10.0,15,8,12
40,8,197,6,20.0,9.85,17,9,10
40,5,188,6,20.0,9.4,14,8,4
41,9,200,4,20.0,10.0,23,6,8
41,6,201,6,20.0,10.05,13,9,13
42,2,212,7,20.0,10.6,20,12,25
42,10,214,4,19.3,10.97,21,10,10
43,4,126,9,20.0,6.3,6,2,2
43,3,108,10,19.5,5.45,8,4,7
44,5,130,8,20.0,6.5,9,5,5
44,1,125,6,20.0,6.25,9,4,5
45,3,125,7,19.2,6.47,6,4,6
45,9,,,,,,,
46,6,214,3,20.0,10.7,20,7,17
46,10,216,4,18.5,11.47,23,9,7
47,7,171,9,20.0,8.55,16,6,8
47,8,166,8,20.0,8.3,15,5,14
48,2,118,10,17.5,6.62,9,3,8
48,1,119,1,13.5,8.6,14,3,3
49,10,139,8,20.0,6.95,15,1,8
49,9,140,4,17.4,7.92,9,7,5
50,4,181,4,20.0,9.05,16,6,8
50,5,187,3,16.4,11.22,15,12,9
51,1,227,2,20.0,11.35,15,14,6
51,3,171,7,20.0,8.55,16,7,8
52,2,214,2,20.0,10.7,19,11,11
52,8,217,6,20.0,10.85,15,13,5
53,6,179,7,20.0,8.95,21,6,13
53,7,182,5,20.0,9.1,20,6,4
54,4,199,6,20.0,9.95,21,8,4
54,10,200,4,16.3,12.12,16,13,14
55,9,167,8,20.0,8.35,10,7,15
55,5,140,8,20.0,7.0,10,6,11
56,7,149,8,20.0,7.45,8,8,3
56,2,151,1,13.1,11.47,14,10,5
57,10,218,5,20.0,10.9,22,12,2
57,1,191,8,20.0,9.55,16,12,6
58,8,182,6,20.0,9.1,18,8,5
58,3,185,3,19.2,9.57,15,10,6
59,6,167,7,20.0,8.35,13,8,13
59,5,136,8,20.0,6.8,17,2,4
60,4,171,5,20.0,8.55,12,7,5
60,2,59,10,10.3,5.62,4,4,3
61,9,144,6,20.0,7.2,7,5,6
61,7,147,4,18.3,7.95,13,4,12
62,1,188,9,20.0,9.4,22,2,13
62,8,154,9,20.0,7.7,13,5,9
63,3,177,3,20.0,8.85,6,11,10
63,10,172,5,20.0,8.6,12,7,15
64,5,213,2,20.0,10.65,20,11,5
64,6,198,8,20.0,9.9,15,13,10
65,8,186,5,20.0,9.3,15,8,6
65,4,187,2,19.2,9.67,20,6,7
66,6,187,5,20.0,9.35,17,9,6
66,2,189,6,19.4,9.61,18,9,9
67,9,223,3,20.0,11.15,17,14,10
67,5,146,9,20.0,7.3,11,6,11
68,3,176,8,20.0,8.8,12,10,12
68,7,175,7,20.0,8.75,17,7,9
69,8,200,5,20.0,10.0,20,7,12
69,10,201,2,18.0,11.17,21,10,6
70,4,197,5,20.0,9.85,25,3,7
70,1,198,4,19.1,10.33,15,10,19
71,9,172,7,20.0,8.6,14,4,5
71,1,157,10,20.0,7.85,13,5,15
72,10,182,8,20.0,9.1,15,8,16
72,3,101,10,16.3,6.12,9,2,10
73,1,233,3,20.0,11.65,18,13,10
73,10,171,10,18.2,9.33,17,7,7
74,1,214,4,20.0,10.7,20,9,4
74,9,171,5,15.0,11.4,11,10,5
